Cre_line,post_patch_count
Chat-IRES-Cre-neo;,27
Chrna2-Cre_OE25;,30
Ctgf-T2A-dgCre;,30
Cux2-CreERT2;,60
Gad2-IRES-Cre;,195
Glt25d2-Cre_NF107;,12
Htr3a-Cre_NO152;Pvalb-T2A-Dre;,16
Ndnf-IRES2-dgCre;,9
Nkx2-1-CreERT2;,9
Nr5a1-Cre;,23
Oxtr-T2A-Cre;,6
Pvalb-IRES-Cre;,93
Rbp4-Cre_KL100;,117
Rorb-IRES2-Cre-neo;,51
Rorb-IRES2-Cre;,112
Scnn1a-Tg2-Cre;,22
Scnn1a-Tg3-Cre;,29
Slc17a8-IRES2-Cre;,15
Slc32a1-IRES-Cre;,229
Sst-IRES-Cre;,70
Vip-IRES-Cre;,168
Vipr2-IRES2-Cre-neo;,3
Vipr2-IRES2-Cre;Pvalb-T2A-FlpO;,2
Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;,57
